,Date,Open,High,Low,Close,Adj Close,Volume
0,1996-01-01,5.55,5.6,5.533333,5.583333,3.633695,985500.0
1,1996-01-02,5.466666,5.566666,5.288888,5.372222,3.496303,7470000.0
2,1996-01-03,5.133333,5.254444,5.101111,5.2,3.384218,15160500.0
3,1996-01-04,5.2,5.332222,5.144444,5.297777,3.447852,12397500.0
4,1996-01-05,5.297777,5.277777,5.188888,5.202222,3.385664,5008500.0
5,1996-01-08,5.202222,5.238888,5.011111,5.042222,3.281535,12645000.0
6,1996-01-09,5.042222,5.108888,4.983333,5.028888,3.272857,8968500.0
7,1996-01-10,5.028888,5.111111,4.977777,5.012222,3.26201,2988000.0
8,1996-01-11,5.012222,5.043333,4.988888,5.038888,3.279364,2227500.0
9,1996-01-12,5.038888,5.133333,5.022222,5.088888,3.311905,4806000.0
10,1996-01-15,5.088888,5.111111,5.027777,5.034444,3.276473,2020500.0
11,1996-01-16,5.034444,5.067777,5.0,5.018888,3.266348,3082500.0
12,1996-01-17,5.018888,5.044444,5.002222,5.017777,3.265626,3078000.0
13,1996-01-18,5.017777,4.997777,4.888888,4.955555,3.22513,5148000.0
14,1996-01-19,4.955555,4.966666,4.627777,4.741111,3.085568,16128000.0
15,1996-01-22,4.741111,4.775555,4.645555,4.707777,3.063874,3946500.0
16,1996-01-23,4.707777,4.747777,4.377777,4.416666,2.874415,7947000.0
17,1996-01-24,4.416666,4.477777,4.15,4.225555,2.750039,15763500.0
18,1996-01-25,4.225555,4.222222,4.144444,4.182222,2.721837,8140500.0
19,1996-01-26,4.182222,4.182222,4.182222,4.182222,2.721837,0.0
20,1996-01-29,4.182222,4.505555,4.167777,4.416666,2.874415,9639000.0
21,1996-01-30,4.416666,4.821111,4.44,4.692222,3.053751,15669000.0
22,1996-01-31,4.692222,4.65,4.46,4.516666,2.939497,9598500.0
23,1996-02-01,4.516666,4.866666,4.522222,4.797777,3.122447,12573000.0
24,1996-02-02,4.887777,5.444444,4.844444,5.347777,3.480394,28179000.0
25,1996-02-05,5.347777,5.888888,5.355555,5.621111,3.658282,18873000.0
26,1996-02-06,5.733333,5.776666,5.412222,5.567777,3.623572,14112000.0
27,1996-02-07,5.488888,5.6,5.335555,5.485555,3.57006,13968000.0
28,1996-02-08,5.555555,6.062222,5.488888,6.062222,3.945362,21955500.0
29,1996-02-09,6.062222,6.396666,6.068888,6.262222,4.075523,12181500.0
30,1996-02-12,6.344444,6.344444,6.0,6.065555,3.947531,14436000.0
31,1996-02-13,6.065555,6.288888,6.0,6.21,4.041537,11718000.0
32,1996-02-14,6.311111,6.588888,6.311111,6.403333,4.167361,9598500.0
33,1996-02-15,6.403333,6.644444,6.333333,6.466666,4.208579,16924500.0
34,1996-02-16,6.311111,6.488888,6.155555,6.274444,4.083478,12861000.0
35,1996-02-19,6.275555,6.388888,6.266666,6.272222,4.082031,5913000.0
36,1996-02-20,6.333333,6.333333,5.866666,5.996666,3.902699,9823500.0
